timestamp	time		fix	state	rawx	rawy	avgx	avgy	psize	Lrawx	Lrawy	Lavgx	Lavgy	Lpsize	Lpupilx	Lpupily	Rrawx	Rrawy	Ravgx	Ravgy	Rpsize	Rpupilx	Rpupily
37:49.8	572061806	35	TRUE	7	437.0615	478.1557	382.6301	449.0963	21.85915	474.2894	450.3082	464.2457	449.3041	22.5376	0.2833	0.4397	399.8336	506.0033	399.8336	506.0033	21.1807	0.4328	0.4424
37:49.8	572061841	34	TRUE	7	448.3067	470.7222	389.8996	451.4114	22.36705	510.498	483.0113	469.2012	452.8125	22.9152	0.2839	0.4398	386.1154	458.4332	386.1154	458.4332	21.8189	0.4334	0.4425
37:49.9	572061875	46	TRUE	7	465.6578	447.832	397.7458	451.0989	22.48415	517.553	447.0726	474.084	452.2196	23.0833	0.2843	0.4393	413.7627	448.5915	399.9567	453.506	21.885	0.4337	0.4423
37:49.9	572061921	34	TRUE	7	423.9043	442.6231	400.6379	450.3474	22.502	478.6364	446.2098	474.6962	451.6315	23.0647	0.2845	0.4391	369.1721	439.0365	389.675	448.654	21.9393	0.4339	0.4421
37:50.0	572061955	35	TRUE	7	438.1248	453.8989	404.3851	450.6655	22.62305	513.1099	424.4807	478.2167	449.2331	23.0067	0.2846	0.438	363.1396	483.317	382.9602	457.3725	22.2394	0.4338	0.4414
37:50.0	572061990	35	TRUE	7	467.501	453.484	410.1072	450.9144	22.8926	574.8475	467.0876	486.4152	450.6007	23.4504	0.2845	0.4377	360.1544	439.8804	378.2712	453.8541	22.3348	0.4337	0.4405
37:50.0	572062025	34	TRUE	7	420.8572	458.7029	411.5867	451.5466	23.16635	533.1597	484.5916	490.5379	453.2119	23.7507	0.284	0.438	308.5546	432.8141	366.293	450.2634	22.582	0.4333	0.4405
37:50.1	572062059	45	TRUE	7	461.2312	439.0396	415.9188	450.6487	23.1805	522.1976	441.2858	493.4525	452.3552	23.9522	0.2837	0.438	400.2647	436.7934	371.1056	448.235	22.4088	0.4331	0.4404
37:50.1	572062104	34	FALSE	7	-267.941	312.194	-267.941	312.194	22.899	-87.5518	270.4292	-87.5518	270.4292	23.4188	0.2812	0.4372	-448.3303	353.9589	-448.3303	353.9589	22.3792	0.4305	0.4395
37:50.1	572062138	35	FALSE	7	-313.8339	343.8242	-313.8339	343.8242	23.25305	-146.8407	346.5347	-146.8407	346.5347	23.8726	0.2807	0.438	-480.8271	341.1138	-480.8271	341.1138	22.6335	0.4302	0.4398
37:50.2	572062173	34	FALSE	7	-257.897	400.6619	-285.8297	372.2794	23.3384	-9.4553	399.3096	-78.0604	372.9558	24.0186	0.2807	0.4384	-506.3386	402.0142	-493.5991	371.6028	22.6582	0.43	0.4401
37:50.2	572062207	43	FALSE	7	-285.8178	359.8763	-285.7783	368.1757	22.8793	-72.006	336.8268	-75.9171	360.9064	23.4434	0.2805	0.4381	-499.6297	382.9259	-495.6395	375.4449	22.3152	0.4298	0.4397
37:50.2	572062250	35	FALSE	7	-602.9519	308.967	-365.7444	353.2614	22.9231	-349.1302	280.0135	-144.7358	340.4899	23.6507	0.2798	0.4384	-856.7736	337.9204	-586.7529	366.0329	22.1955	0.4291	0.4399
37:50.3	572062285	79	FALSE	7	-477.4266	360.2441	-388.8805	354.6044	23.03295	-207.5786	335.3205	-157.8406	339.3061	23.7741	0.2798	0.4388	-747.2747	385.1678	-619.9205	369.9028	22.2918	0.429	0.4401
37:50.4	572062364	35	FALSE	7	-449.0249	336.1183	-449.0249	336.1183	22.64035	-223.5201	341.1058	-223.5201	341.1058	23.1781	0.2793	0.4389	-674.5297	331.1309	-674.5297	331.1309	22.1026	0.4286	0.4398
37:50.4	572062399	35	FALSE	7	-412.3188	366.6573	-430.6484	351.4073	22.5588	-107.1884	362.849	-165.2801	351.9913	23.1044	0.2793	0.4392	-717.4492	370.4657	-696.0169	350.8234	22.0132	0.4285	0.4401
37:50.4	572062434	35	FALSE	7	-482.9558	356.7018	-448.1272	353.2056	22.3292	-172.9532	324.0163	-167.75	342.6451	22.9444	0.2793	0.4388	-792.9584	389.3874	-728.5045	363.7661	21.714	0.4285	0.4398
37:50.5	572062469	35	FALSE	7	-549.7245	333.5148	-473.7968	348.265	22.1678	-287.2569	290.7565	-197.8298	329.5352	22.5029	0.2794	0.4385	-812.1921	376.2731	-749.7639	366.9947	21.8327	0.4286	0.4396
37:50.5	572062504	44	FALSE	7	-558.0471	311.8235	-491.095	340.8555	22.21785	-257.1319	286.4067	-210.0046	320.6805	22.7415	0.2796	0.4385	-858.9622	337.2404	-772.1854	361.0305	21.6942	0.4289	0.4397
37:50.5	572062548	35	TRUE	7	-428.8431	383.9886	-480.778	348.1423	22.32705	-140.6467	343.4073	-198.3862	324.4032	22.8486	0.28	0.4386	-717.0396	424.57	-717.0396	424.57	21.8055	0.4291	0.44
